0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.49,0.51,0.51,0.52,0.53,,,,,,,,,,,,,,,,,
,0.48,0.48,,,0.5,0.52,0.53,,,,,,,,,,,,,,,,
0.48,0.48,,,,,0.5,0.51,,,,,,,,,,,,,,,,
0.49,0.48,,,,,,0.5,0.51,,,,,,,,,,,,,,,
0.49,0.49,,,,,,,0.51,0.51,0.51,,,,,,,,,,,,,
0.5,0.51,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,
0.51,0.51,,,,,,,,,,0.49,0.49,0.5,0.52,,,,,,,,,
,0.53,,,,,,,,,,,,0.5,0.51,0.53,0.54,,,,,,,
,0.55,,,,,,,,,,,,,0.51,0.53,0.54,0.55,0.57,0.58,0.59,0.6,0.6,
,0.56,0.57,0.57,0.57,0.56,0.55,0.54,0.52,,,,,,,,,,,0.57,0.57,0.58,0.57,0.57
,,,,,,,,0.53,0.52,0.51,0.51,,,,,,,,,,,0.55,0.54
,,,,,,,,,,0.52,0.52,0.52,,,,,,,,,0.53,0.53,
,,,,,,,,,,,,0.52,,,,,,,,,0.51,0.51,
,,,,,,,,,,,,0.52,0.52,,,,,,,,0.5,,
,,,,,,,,,,0.52,0.52,0.52,0.52,,,,,,,,0.49,0.47,
,,,,,,,,,0.52,0.52,,0.52,0.52,0.52,,,,,,,,0.47,
,,,,,,,,,0.52,0.51,0.52,0.52,0.53,0.53,,,,,,,,0.47,0.45
,,,,,,,,,,,0.51,0.52,,0.53,,,,,,,,0.47,0.46
,,,,,,,,,,,,,0.53,0.54,,,,,,,,0.48,0.46
,,,,,,,,,,,,0.53,0.54,,,,,,,,,0.48,0.46
,,,,,,,,,,,,0.54,0.54,,,,,,,,0.5,0.48,
,,,,,,,,,,,,,0.55,0.56,,,,0.54,0.53,0.52,0.5,,
,,,,,,,,,,,,,0.57,0.57,,,,,0.54,,,,
,,,,,,,,,,,,,,0.58,,,,,0.55,,,,
,,,,,,,,,,,,,,0.61,,,,,0.57,0.55,,,
,,,,,,,,,,,,,,0.63,,,,,0.59,0.57,,,
,,,,,,,,,,,,,,0.67,0.66,,,,,0.59,,,
,,,,,,,,,,,,,,,0.68,0.66,,,0.62,0.6,,,
,,,,,,,,,,,,,,,,0.66,0.65,0.63,0.62,,,,
,,,,,,,,,,,,,,,,,0.65,0.63,,,,,
