0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.47,0.49,0.49,0.48,0.45,,,,,,,,,,,,,,,,,
,0.43,0.46,,,0.45,0.43,0.41,,,,,,,,,,,,,,,,
0.4,0.43,,,,,0.42,0.41,,,,,,,,,,,,,,,,
0.41,0.42,,,,,,0.4,0.39,,,,,,,,,,,,,,,
0.41,0.42,,,,,,,0.39,0.38,0.38,,,,,,,,,,,,,
0.42,0.43,,,,,,,,0.38,0.38,0.38,,,,,,,,,,,,
0.43,0.43,,,,,,,,,,0.39,0.4,0.42,0.43,,,,,,,,,
,0.44,,,,,,,,,,,,0.42,0.44,0.45,0.46,,,,,,,
,0.44,,,,,,,,,,,,,0.44,0.45,0.46,0.48,0.49,0.5,0.5,0.48,0.47,
,0.43,0.43,0.43,0.43,0.43,0.43,0.44,0.44,,,,,,,,,,,0.49,0.49,0.48,0.46,0.45
,,,,,,,,0.45,0.46,0.45,0.44,,,,,,,,,,,0.45,0.43
,,,,,,,,,,0.46,0.45,0.43,,,,,,,,,0.45,0.43,
,,,,,,,,,,,,0.43,,,,,,,,,0.43,0.41,
,,,,,,,,,,,,0.44,0.43,,,,,,,,0.41,,
,,,,,,,,,,0.49,0.47,0.46,0.44,,,,,,,,0.39,0.38,
,,,,,,,,,0.52,0.51,,0.47,0.45,0.44,,,,,,,,0.37,
,,,,,,,,,0.54,0.53,0.51,0.49,0.47,0.45,,,,,,,,0.36,0.36
,,,,,,,,,,,0.52,0.5,,0.46,,,,,,,,0.37,0.38
,,,,,,,,,,,,,0.48,0.46,,,,,,,,0.38,0.39
,,,,,,,,,,,,0.49,0.48,,,,,,,,,0.4,0.4
,,,,,,,,,,,,0.49,0.47,,,,,,,,0.4,0.41,
,,,,,,,,,,,,,0.46,0.44,,,,0.41,0.41,0.41,0.41,,
,,,,,,,,,,,,,0.45,0.43,,,,,0.42,,,,
,,,,,,,,,,,,,,0.43,,,,,0.42,,,,
,,,,,,,,,,,,,,0.42,,,,,0.43,0.43,,,
,,,,,,,,,,,,,,0.42,,,,,0.43,0.44,,,
,,,,,,,,,,,,,,0.41,0.42,,,,,0.45,,,
,,,,,,,,,,,,,,,0.41,0.42,,,0.46,0.47,,,
,,,,,,,,,,,,,,,,0.43,0.44,0.46,0.48,,,,
,,,,,,,,,,,,,,,,,0.47,0.49,,,,,
