0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.29,0.31,0.32,0.33,0.32,,,,,,,,,,,,,,,,,
,0.26,0.28,,,0.32,0.32,0.31,,,,,,,,,,,,,,,,
0.23,0.26,,,,,0.31,0.3,,,,,,,,,,,,,,,,
0.24,0.26,,,,,,0.3,0.29,,,,,,,,,,,,,,,
0.25,0.27,,,,,,,0.31,0.3,0.29,,,,,,,,,,,,,
0.27,0.29,,,,,,,,0.32,0.31,0.3,,,,,,,,,,,,
0.29,0.32,,,,,,,,,,0.32,0.3,0.28,0.26,,,,,,,,,
,0.34,,,,,,,,,,,,0.29,0.26,0.25,0.24,,,,,,,
,0.36,,,,,,,,,,,,,0.26,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,
,0.37,0.39,0.4,0.41,0.41,0.4,0.4,0.39,,,,,,,,,,,0.23,0.23,0.24,0.24,0.26
,,,,,,,,0.4,0.39,0.36,0.33,,,,,,,,,,,0.25,0.26
,,,,,,,,,,0.35,0.32,0.29,,,,,,,,,0.24,0.25,
,,,,,,,,,,,,0.28,,,,,,,,,0.23,0.24,
,,,,,,,,,,,,0.27,0.26,,,,,,,,0.22,,
,,,,,,,,,,0.32,0.3,0.27,0.26,,,,,,,,0.21,0.22,
,,,,,,,,,0.34,0.32,,0.27,0.25,0.24,,,,,,,,0.2,
,,,,,,,,,0.34,0.32,0.3,0.27,0.25,0.23,,,,,,,,0.18,0.2
,,,,,,,,,,,0.28,0.26,,0.22,,,,,,,,0.16,0.18
,,,,,,,,,,,,,0.23,0.21,,,,,,,,0.15,0.16
,,,,,,,,,,,,0.23,0.21,,,,,,,,,0.14,0.14
,,,,,,,,,,,,0.21,0.19,,,,,,,,0.13,0.13,
,,,,,,,,,,,,,0.18,0.16,,,,0.13,0.13,0.13,0.12,,
,,,,,,,,,,,,,0.16,0.15,,,,,0.12,,,,
,,,,,,,,,,,,,,0.13,,,,,0.11,,,,
,,,,,,,,,,,,,,0.13,,,,,0.1,0.1,,,
,,,,,,,,,,,,,,0.13,,,,,0.1,0.1,,,
,,,,,,,,,,,,,,0.13,0.13,,,,,0.12,,,
,,,,,,,,,,,,,,,0.13,0.13,,,0.13,0.13,,,
,,,,,,,,,,,,,,,,0.14,0.14,0.14,0.15,,,,
,,,,,,,,,,,,,,,,,0.16,0.16,,,,,
