0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.07,0.08,0.07,0.07,0.07,,,,,,,,,,,,,,,,,
,0.07,0.07,,,0.07,0.07,0.07,,,,,,,,,,,,,,,,
0.07,0.07,,,,,0.07,0.07,,,,,,,,,,,,,,,,
0.07,0.07,,,,,,0.06,0.06,,,,,,,,,,,,,,,
0.07,0.07,,,,,,,0.06,0.06,0.06,,,,,,,,,,,,,
0.07,0.07,,,,,,,,0.05,0.06,0.06,,,,,,,,,,,,
0.07,0.07,,,,,,,,,,0.05,0.05,0.05,0.06,,,,,,,,,
,0.06,,,,,,,,,,,,0.05,0.05,0.06,0.08,,,,,,,
,0.06,,,,,,,,,,,,,0.05,0.05,0.07,0.1,0.12,0.15,0.18,0.2,0.21,
,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.06,,,,,,,,,,,0.14,0.17,0.18,0.19,0.19
,,,,,,,,0.07,0.07,0.05,0.03,,,,,,,,,,,0.17,0.17
,,,,,,,,,,0.05,0.03,0.01,,,,,,,,,0.14,0.15,
,,,,,,,,,,,,0.01,,,,,,,,,0.13,0.13,
,,,,,,,,,,,,0.01,0.02,,,,,,,,0.12,,
,,,,,,,,,,0.02,0.01,0.01,0.02,,,,,,,,0.11,0.12,
,,,,,,,,,0.03,0.02,,0.02,0.02,0.03,,,,,,,,0.12,
,,,,,,,,,0.03,0.02,0.02,0.02,0.03,0.03,,,,,,,,0.11,0.11
,,,,,,,,,,,0.03,0.03,,0.03,,,,,,,,0.1,0.1
,,,,,,,,,,,,,0.03,0.03,,,,,,,,0.09,0.1
,,,,,,,,,,,,0.03,0.03,,,,,,,,,0.08,0.09
,,,,,,,,,,,,0.03,0.03,,,,,,,,0.07,0.08,
,,,,,,,,,,,,,0.03,0.03,,,,0.04,0.05,0.05,0.06,,
,,,,,,,,,,,,,0.03,0.03,,,,,0.04,,,,
,,,,,,,,,,,,,,0.03,,,,,0.05,,,,
,,,,,,,,,,,,,,0.03,,,,,0.06,0.06,,,
,,,,,,,,,,,,,,0.03,,,,,0.07,0.07,,,
,,,,,,,,,,,,,,0.04,0.05,,,,,0.08,,,
,,,,,,,,,,,,,,,0.06,0.07,,,0.09,0.09,,,
,,,,,,,,,,,,,,,,0.08,0.09,0.1,0.1,,,,
,,,,,,,,,,,,,,,,,0.1,0.11,,,,,
