0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.34,0.39,0.46,0.52,0.57,,,,,,,,,,,,,,,,,
,0.36,0.38,,,0.52,0.57,0.61,,,,,,,,,,,,,,,,
0.41,0.42,,,,,0.57,0.62,,,,,,,,,,,,,,,,
0.46,0.46,,,,,,0.61,0.64,,,,,,,,,,,,,,,
0.49,0.5,,,,,,,0.62,0.63,0.62,,,,,,,,,,,,,
0.51,0.52,,,,,,,,0.6,0.59,0.57,,,,,,,,,,,,
0.5,0.52,,,,,,,,,,0.55,0.53,0.52,0.52,,,,,,,,,
,0.5,,,,,,,,,,,,0.51,0.51,0.52,0.54,,,,,,,
,0.46,,,,,,,,,,,,,0.5,0.51,0.54,0.57,0.61,0.64,0.66,0.67,0.67,
,0.41,0.43,0.45,0.46,0.48,0.5,0.51,0.52,,,,,,,,,,,0.62,0.64,0.65,0.65,0.63
,,,,,,,,0.47,0.48,0.48,0.47,,,,,,,,,,,0.62,0.61
,,,,,,,,,,0.44,0.45,0.46,,,,,,,,,0.6,0.6,
,,,,,,,,,,,,0.43,,,,,,,,,0.58,0.59,
,,,,,,,,,,,,0.4,0.4,,,,,,,,0.56,,
,,,,,,,,,,0.32,0.34,0.36,0.36,,,,,,,,0.53,0.56,
,,,,,,,,,0.24,0.27,,0.31,0.32,0.33,,,,,,,,0.54,
,,,,,,,,,0.2,0.23,0.25,0.27,0.28,0.29,,,,,,,,0.53,0.56
,,,,,,,,,,,0.22,0.23,,0.26,,,,,,,,0.51,0.55
,,,,,,,,,,,,,0.22,0.23,,,,,,,,0.49,0.53
,,,,,,,,,,,,0.18,0.19,,,,,,,,,0.46,0.51
,,,,,,,,,,,,0.16,0.17,,,,,,,,0.38,0.43,
,,,,,,,,,,,,,0.15,0.16,,,,0.23,0.26,0.31,0.36,,
,,,,,,,,,,,,,0.13,0.14,,,,,0.25,,,,
,,,,,,,,,,,,,,0.13,,,,,0.25,,,,
,,,,,,,,,,,,,,0.13,,,,,0.24,0.27,,,
,,,,,,,,,,,,,,0.15,,,,,0.24,0.27,,,
,,,,,,,,,,,,,,0.18,0.18,,,,,0.27,,,
,,,,,,,,,,,,,,,0.21,0.22,,,0.25,0.27,,,
,,,,,,,,,,,,,,,,0.24,0.24,0.24,0.25,,,,
,,,,,,,,,,,,,,,,,0.26,0.25,,,,,
