0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
,0.0,0.0,,,0.0,0.01,0.01,,,,,,,,,,,,,,,,
0.0,0.0,,,,,0.01,0.02,,,,,,,,,,,,,,,,
0.0,0.0,,,,,,0.02,0.03,,,,,,,,,,,,,,,
0.0,0.0,,,,,,,0.03,0.03,0.04,,,,,,,,,,,,,
0.0,0.0,,,,,,,,0.02,0.03,0.04,,,,,,,,,,,,
0.0,0.0,,,,,,,,,,0.03,0.03,0.04,0.05,,,,,,,,,
,0.0,,,,,,,,,,,,0.03,0.04,0.05,0.07,,,,,,,
,0.0,,,,,,,,,,,,,0.03,0.04,0.06,0.08,0.09,0.11,0.11,0.12,0.12,
,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,0.09,0.1,0.11,0.11,0.1
,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.1,0.09
,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.09,0.09,
,,,,,,,,,,,,0.0,,,,,,,,,0.09,0.09,
,,,,,,,,,,,,0.0,0.0,,,,,,,,0.09,,
,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.08,0.1,
,,,,,,,,,0.0,0.0,,0.0,0.0,0.01,,,,,,,,0.09,
,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.08,0.1
,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,0.07,0.09
,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.06,0.08
,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.05,0.07
,,,,,,,,,,,,0.0,0.0,,,,,,,,0.03,0.04,
,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.01,0.02,,
,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,
,,,,,,,,,,,,,,0.0,,,,,0.0,,,,
,,,,,,,,,,,,,,0.0,,,,,0.01,0.01,,,
,,,,,,,,,,,,,,0.0,,,,,0.01,0.02,,,
,,,,,,,,,,,,,,0.0,0.0,,,,,0.02,,,
,,,,,,,,,,,,,,,0.01,0.01,,,0.02,0.02,,,
,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,,,,
,,,,,,,,,,,,,,,,,0.02,0.02,,,,,
