0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.37,0.39,0.39,0.38,0.36,,,,,,,,,,,,,,,,,
,0.33,0.36,,,0.35,0.34,0.32,,,,,,,,,,,,,,,,
0.3,0.33,,,,,0.32,0.31,,,,,,,,,,,,,,,,
0.3,0.32,,,,,,0.3,0.29,,,,,,,,,,,,,,,
0.3,0.31,,,,,,,0.28,0.28,0.27,,,,,,,,,,,,,
0.31,0.32,,,,,,,,0.27,0.27,0.28,,,,,,,,,,,,
0.32,0.32,,,,,,,,,,0.29,0.3,0.31,0.33,,,,,,,,,
,0.32,,,,,,,,,,,,0.31,0.32,0.34,0.36,,,,,,,
,0.32,,,,,,,,,,,,,0.32,0.33,0.35,0.36,0.38,0.38,0.38,0.36,0.34,
,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,,,,,,,,,,,0.36,0.35,0.34,0.32,0.3
,,,,,,,,0.32,0.32,0.32,0.31,,,,,,,,,,,0.3,0.28
,,,,,,,,,,0.32,0.31,0.29,,,,,,,,,0.28,0.27,
,,,,,,,,,,,,0.28,,,,,,,,,0.25,0.24,
,,,,,,,,,,,,0.28,0.27,,,,,,,,0.23,,
,,,,,,,,,,0.32,0.3,0.28,0.26,,,,,,,,0.2,0.18,
,,,,,,,,,0.35,0.33,,0.29,0.27,0.25,,,,,,,,0.16,
,,,,,,,,,0.36,0.34,0.32,0.29,0.27,0.25,,,,,,,,0.15,0.15
,,,,,,,,,,,0.32,0.3,,0.25,,,,,,,,0.15,0.15
,,,,,,,,,,,,,0.26,0.24,,,,,,,,0.15,0.15
,,,,,,,,,,,,0.28,0.25,,,,,,,,,0.16,0.16
,,,,,,,,,,,,0.26,0.24,,,,,,,,0.16,0.16,
,,,,,,,,,,,,,0.22,0.2,,,,0.16,0.16,0.16,0.16,,
,,,,,,,,,,,,,0.2,0.19,,,,,0.16,,,,
,,,,,,,,,,,,,,0.17,,,,,0.15,,,,
,,,,,,,,,,,,,,0.16,,,,,0.15,0.15,,,
,,,,,,,,,,,,,,0.15,,,,,0.15,0.15,,,
,,,,,,,,,,,,,,0.14,0.14,,,,,0.15,,,
,,,,,,,,,,,,,,,0.13,0.13,,,0.16,0.17,,,
,,,,,,,,,,,,,,,,0.13,0.14,0.16,0.18,,,,
,,,,,,,,,,,,,,,,,0.16,0.18,,,,,
