0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,0.52,0.55,0.59,0.62,0.66,,,,,,,,,,,,,,,,,
,0.52,0.56,,,0.66,0.69,0.72,,,,,,,,,,,,,,,,
0.54,0.57,,,,,0.72,0.75,,,,,,,,,,,,,,,,
0.57,0.6,,,,,,0.77,0.8,,,,,,,,,,,,,,,
0.6,0.63,,,,,,,0.82,0.84,0.83,,,,,,,,,,,,,
0.64,0.67,,,,,,,,0.86,0.85,0.81,,,,,,,,,,,,
0.67,0.7,,,,,,,,,,0.82,0.77,0.74,0.72,,,,,,,,,
,0.71,,,,,,,,,,,,0.73,0.72,0.71,0.71,,,,,,,
,0.72,,,,,,,,,,,,,0.71,0.71,0.71,0.72,0.75,0.78,0.81,0.85,0.86,
,0.72,0.75,0.78,0.81,0.84,0.86,0.86,0.85,,,,,,,,,,,0.75,0.77,0.8,0.81,0.8
,,,,,,,,0.84,0.82,0.81,0.78,,,,,,,,,,,0.75,0.74
,,,,,,,,,,0.79,0.77,0.73,,,,,,,,,0.68,0.68,
,,,,,,,,,,,,0.71,,,,,,,,,0.62,0.62,
,,,,,,,,,,,,0.68,0.64,,,,,,,,0.57,,
,,,,,,,,,,0.69,0.67,0.64,0.61,,,,,,,,0.51,0.51,
,,,,,,,,,0.67,0.66,,0.61,0.58,0.56,,,,,,,,0.47,
,,,,,,,,,0.64,0.62,0.61,0.58,0.56,0.53,,,,,,,,0.44,0.44
,,,,,,,,,,,0.57,0.55,,0.51,,,,,,,,0.41,0.42
,,,,,,,,,,,,,0.5,0.48,,,,,,,,0.41,0.41
,,,,,,,,,,,,0.48,0.47,,,,,,,,,0.42,0.41
,,,,,,,,,,,,0.46,0.45,,,,,,,,0.45,0.44,
,,,,,,,,,,,,,0.44,0.44,,,,0.47,0.48,0.48,0.47,,
,,,,,,,,,,,,,0.43,0.44,,,,,0.5,,,,
,,,,,,,,,,,,,,0.44,,,,,0.54,,,,
,,,,,,,,,,,,,,0.44,,,,,0.57,0.58,,,
,,,,,,,,,,,,,,0.45,,,,,0.59,0.6,,,
,,,,,,,,,,,,,,0.46,0.5,,,,,0.62,,,
,,,,,,,,,,,,,,,0.52,0.56,,,0.63,0.64,,,
,,,,,,,,,,,,,,,,0.58,0.6,0.63,0.65,,,,
,,,,,,,,,,,,,,,,,0.62,0.65,,,,,
